VoterID,First Choice,Second Choice,Third Choice
1001,Dalinar Kholin,Jasnah Kholin,Renarin Kholin
1002,Dalinar Kholin,Jasnah Kholin,Kaladin Stormblessed
1003,Torol Sadeas,Meridas Amaram,Shallan Davar
1004,Torol Sadeas,Meridas Amaram,Shallan Davar
1005,Dalinar Kholin,Jasnah Kholin,Kaladin Stormblessed
1006,Dalinar Kholin,Jasnah Kholin,Renarin Kholin
1007,Torol Sadeas,Meridas Amaram,Shallan Davar
1008,Dalinar Kholin,Jasnah Kholin,Kaladin Stormblessed
1009,Dalinar Kholin,Jasnah Kholin,Renarin Kholin
1010,Torol Sadeas,Meridas Amaram,Renarin Kholin
